name,area sq km,population 2018,density per sq km
Anhui,139900,63240000,452.0371694067191
Beijing,16800,21542000,1282.2619047619048
Chongqing,82000,31018000,378.2682926829268
Fujian,123100,39410000,320.1462225832656
Gansu,366500,26370000,71.95088676671215
Guangdong,197100,113460000,575.6468797564688
Guangxi,220400,49260000,223.502722323049
Guizhou,174000,36000000,206.89655172413794
Hainan,34300,9340000,272.30320699708454
Hebei,202700,75560000,372.76763690182537
Heilongjiang,463600,37730000,81.38481449525453
Henan,167000,96050000,575.1497005988024
Hubei,187500,59170000,315.5733333333333
Hunan,210500,68990000,327.7434679334917
Jiangsu,102600,80507000,784.6686159844055
Jiangxi,164800,46480000,282.0388349514563
Jilin,187000,27040000,144.59893048128342
Liaoning,151000,43590000,288.6754966887417
Inner Mongolia,1177500,25340000,21.520169851380043
Ningxia,66400,6880000,103.6144578313253
Qinghai,721000,6030000,8.363384188626908
Shandong,153300,100470000,655.3816046966732
Shanghai,6200,24240000,3909.6774193548385
Shanxi,157100,37183000,236.68364099299808
Shaanxi,195800,38640000,197.34422880490297
Sichuan,487000,83410000,171.27310061601642
Tianjin,11300,15600000,1380.5309734513273
Xinjiang,1646900,24870000,15.10109903454976
Tibet Autonomous Region,1221600,3440000,2.8159790438768826
Yunnan,436200,48300000,110.72902338376892
Zhejiang,101800,57370000,563.5559921414539
